15m_timestamp,15m_open,15m_high,15m_low,15m_close,15m_volume
1635391800000,58758.16,58905.5,58758.16,58784.52,1.423964
1635392700000,58784.52,58926.49,58747.59,58840.75,6.698266
1635393600000,58840.75,59234.6,58840.75,59190.02,8.486483
1635394500000,59190.02,59208.92,58923.19,58930.02,2.143436
1635395400000,58930.02,58977.76,58825.29,58906.55,3.53014
1635396300000,58906.55,58906.55,58701.58,58784.7,3.024048
1635397200000,58784.7,59085.95,58784.7,59003.5,4.066841
1635398100000,59003.5,59096.14,58845.4,59030.0,4.618445
1635399000000,59030.0,59163.54,58739.15,59019.32,13.905784
1635399900000,59019.32,59066.1,58946.15,59059.54,7.468519
1635400800000,59059.54,59155.17,58728.93,58944.49,13.580965
1635401700000,58944.49,59133.8,58728.91,59121.64,9.281909
1635402600000,59121.64,59201.51,58989.81,59087.58,14.457801
1635403500000,59087.58,59218.48,59040.06,59045.81,3.975618
1635404400000,59045.81,59196.54,58920.69,58937.49,3.161817
1635405300000,58937.49,58989.52,58877.39,58965.32,2.304363
1635406200000,58965.32,58984.23,58861.69,58928.48,2.075586
1635407100000,58928.48,59146.04,58924.04,58999.59,7.594615
1635408000000,58999.59,59300.0,58981.47,59300.0,5.324971
1635408900000,59300.0,59724.4,59268.82,59690.41,10.162625
1635409800000,59690.41,60360.0,59674.41,60234.82,21.694328
1635410700000,60234.82,60650.0,60121.67,60560.48,8.347861
1635411600000,60560.48,60790.16,60560.48,60747.26,7.167486
1635412500000,60747.26,60758.04,60400.0,60488.84,5.471435
1635413400000,60488.84,60615.74,60425.39,60613.03,6.463231
1635414300000,60613.03,61221.6,60613.03,60991.4,9.900256
1635415200000,60991.4,61078.97,60807.93,60919.67,7.430813
1635416100000,60919.67,61040.48,60850.0,61025.81,1.901063
1635417000000,61025.81,61171.26,61001.06,61076.43,4.187826
1635417900000,61076.43,61115.41,60883.19,60987.37,1.835914
1635418800000,60987.37,61066.67,60850.0,60850.0,4.761144
1635419700000,60850.0,60942.55,60750.0,60882.78,1.886481
1635420600000,60882.78,61000.0,60800.94,60800.94,2.588278
1635421500000,60800.94,60968.58,60800.94,60923.96,3.877808
1635422400000,60923.96,61073.67,60841.09,61002.56,2.278407
1635423300000,61002.56,61078.54,60975.11,61001.01,1.665436
1635424200000,61001.01,61271.14,60900.0,61178.16,5.32568
1635425100000,61178.16,61210.0,61018.22,61086.0,4.023606
1635426000000,61086.0,61207.12,60930.56,61207.12,2.42447
1635426900000,61207.12,61470.0,61204.74,61470.0,5.281937
1635427800000,61470.0,61753.77,61353.67,61395.15,15.37733
1635428700000,61395.15,61560.3,61321.61,61560.3,9.080514
1635429600000,61560.3,61657.57,61438.53,61514.08,8.155302
1635430500000,61514.08,61549.96,61250.46,61280.31,7.676672
1635431400000,61280.31,61476.16,61280.31,61372.49,4.720195
1635432300000,61372.49,61634.1,61349.53,61517.98,5.618309
1635433200000,61517.98,61517.98,61341.99,61345.9,1.022066
1635434100000,61345.9,61432.31,61325.98,61378.12,0.940047
1635435000000,61378.12,61516.63,61283.37,61283.37,3.619459
1635435900000,61283.37,61283.37,61074.84,61152.5,4.391959
1635436800000,61152.5,61295.44,61123.46,61167.15,4.792417
1635437700000,61167.15,61299.99,61167.15,61255.87,2.03475
1635438600000,61255.87,61279.47,61107.9,61194.57,2.141881
1635439500000,61194.57,61250.74,61106.99,61151.96,2.223598
1635440400000,61151.96,61281.02,61000.0,61051.06,3.174535
1635441300000,61051.06,61122.22,60950.0,61038.84,4.524883
1635442200000,61038.84,61175.9,60804.55,61130.12,5.119225
1635443100000,61130.12,61163.18,60943.13,61080.43,2.587018
1635444000000,61080.43,61200.0,61010.16,61131.24,2.922996
1635444900000,61131.24,61131.24,60935.77,60965.2,0.929012
