1d_timestamp,1d_open,1d_high,1d_low,1d_close,1d_volume
1658707200000,22581.53,22663.05,21254.9,21312.66,3573.508141
1658793600000,21312.66,21342.32,20710.36,21248.22,3067.313524
1658880000000,21248.22,23100.0,21042.46,22950.43,4708.315569
1658966400000,22950.43,24192.14,22577.19,23845.75,4912.810414
1659052800000,23845.75,24439.72,23427.6,23775.76,4283.444472
1659139200000,23775.76,24668.16,23512.92,23638.03,3430.733782
1659225600000,23638.03,24190.45,23233.94,23305.12,2132.808173
1659312000000,23305.12,23499.48,22852.3,23265.44,2259.666522
1659398400000,23265.44,23450.0,22657.2,22978.1,2698.984857
1659484800000,22978.1,23638.46,22685.78,22819.37,2076.332526
1659571200000,22819.37,23217.02,22404.72,22617.74,2278.79047
1659657600000,22617.74,23475.53,22591.61,23308.31,2485.564815
1659744000000,23308.31,23346.86,22910.01,22951.2,985.864994
1659830400000,22951.2,23396.97,22850.0,23177.58,890.846902
1659916800000,23177.58,24240.6,23159.87,23815.45,2284.475576
1660003200000,23815.45,23926.69,22875.0,23150.39,1956.630895
1660089600000,23150.39,24221.92,22664.06,23952.14,3440.139455
1660176000000,23952.14,24920.0,23857.13,23935.04,3553.309597
1660262400000,23935.04,24449.69,23589.76,24395.19,1689.441486
1660348800000,24395.19,24880.13,24299.94,24437.66,1464.78086
1660435200000,24437.66,25040.0,24150.0,24303.56,1550.748524
1660521600000,24303.56,25204.62,23772.42,24095.41,2639.302276
1660608000000,24095.41,24241.85,23678.49,23859.05,1700.267786
1660694400000,23859.05,24440.71,23187.51,23335.92,2494.748623
1660780800000,23335.92,23594.7,23097.68,23187.3,1689.865001
1660867200000,23187.3,23199.37,20785.07,20827.96,5178.872814
1660953600000,20827.96,21370.11,20768.12,21137.82,2911.976528
1661040000000,21137.82,21783.45,21068.22,21516.52,1931.580462
1661126400000,21516.52,21540.0,20899.33,21399.3,2556.736212
1661212800000,21399.3,21678.55,20895.01,21519.02,2314.974876
